,JPM-GS,JPM-GS,JPM-GS,JPM-GS,JPM-GS,JPM-GS,JPM-GS,JPM-GS,JPM-GS,PEP-KO,PEP-KO,PEP-KO,PEP-KO,PEP-KO,PEP-KO,PEP-KO,PEP-KO,PEP-KO,V-MA,V-MA,V-MA,V-MA,V-MA,V-MA,V-MA,V-MA,V-MA
,JPM position,GS position,JPM Holding PnL,GS Holding PnL,JPM Trading costs,GS Trading costs,JPM PnL,GS PnL,JPM-GS total PnL,PEP position,KO position,PEP Holding PnL,KO Holding PnL,PEP Trading costs,KO Trading costs,PEP PnL,KO PnL,PEP-KO total PnL,V position,MA position,V Holding PnL,MA Holding PnL,V Trading costs,MA Trading costs,V PnL,MA PnL,V-MA total PnL
2024-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-08 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,-69.0,-0.0,-0.0,5.94,3.97,-5.94,-3.97,-9.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-09 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,-69.0,-175.33,19.64,0.0,0.47,-175.33,19.17,-156.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-10 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,-69.0,-320.8,83.22,0.0,0.48,-320.8,82.73,-238.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-11 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,-69.0,-288.09,58.41,0.0,0.48,-288.09,57.94,-230.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-12 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,-69.0,-197.44,-10.57,0.0,0.47,-197.44,-11.05,-208.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
