,Portfolio daily PnL,Portfolio equity
2024-01-02 00:00:00,0.0,100000.0
2024-01-03 00:00:00,0.0,100000.0
2024-01-04 00:00:00,0.0,100000.0
2024-01-05 00:00:00,0.0,100000.0
2024-01-08 00:00:00,-9.91,99990.09
2024-01-09 00:00:00,-156.16,99833.93
2024-01-10 00:00:00,-238.07,99595.86
2024-01-11 00:00:00,-230.16,99365.7
2024-01-12 00:00:00,-208.49,99157.21
2024-01-16 00:00:00,-235.27,98921.94
2024-01-17 00:00:00,-199.39,98722.55
2024-01-18 00:00:00,-152.42,98570.13
2024-01-19 00:00:00,-191.53,98378.6
2024-01-22 00:00:00,-165.83,98212.78
2024-01-23 00:00:00,-33.13,98179.65
2024-01-24 00:00:00,-28.32,98151.33
2024-01-25 00:00:00,24.5,98175.83
2024-01-26 00:00:00,23.16,98198.99
2024-01-29 00:00:00,-8.47,98190.52
2024-01-30 00:00:00,82.74,98273.26
2024-01-31 00:00:00,71.51,98344.77
2024-02-01 00:00:00,98.99,98443.76
2024-02-02 00:00:00,93.24,98537.01
2024-02-05 00:00:00,106.67,98643.68
2024-02-06 00:00:00,118.01,98761.69
2024-02-07 00:00:00,116.73,98878.42
2024-02-08 00:00:00,140.44,99018.86
2024-02-09 00:00:00,-56.49,98962.36
2024-02-12 00:00:00,28.89,98991.26
2024-02-13 00:00:00,-70.58,98920.68
2024-02-14 00:00:00,-231.29,98689.39
2024-02-15 00:00:00,-217.56,98471.83
2024-02-16 00:00:00,-267.3,98204.54
2024-02-20 00:00:00,-280.05,97924.49
2024-02-21 00:00:00,-315.94,97608.55
2024-02-22 00:00:00,-299.13,97309.42
2024-02-23 00:00:00,-272.03,97037.39
2024-02-26 00:00:00,-273.23,96764.17
2024-02-27 00:00:00,-251.78,96512.39
2024-02-28 00:00:00,-299.49,96212.89
2024-02-29 00:00:00,-289.04,95923.85
2024-03-01 00:00:00,-221.77,95702.08
2024-03-04 00:00:00,-179.03,95523.06
2024-03-05 00:00:00,-340.51,95182.54
2024-03-06 00:00:00,-9.92,95172.63
2024-03-07 00:00:00,-258.98,94913.64
2024-03-08 00:00:00,-258.85,94654.79
2024-03-11 00:00:00,-260.6,94394.2
2024-03-12 00:00:00,-276.27,94117.92
2024-03-13 00:00:00,-314.49,93803.44
2024-03-14 00:00:00,-344.71,93458.72
2024-03-15 00:00:00,-286.6,93172.13
2024-03-18 00:00:00,-146.95,93025.18
2024-03-19 00:00:00,-108.23,92916.95
2024-03-20 00:00:00,-110.7,92806.25
2024-03-21 00:00:00,-119.32,92686.92
2024-03-22 00:00:00,-169.47,92517.46
2024-03-25 00:00:00,-106.95,92410.51
2024-03-26 00:00:00,-89.79,92320.72
2024-03-27 00:00:00,-149.75,92170.97
2024-03-28 00:00:00,-101.94,92069.02
2024-04-01 00:00:00,-314.85,91754.18
2024-04-02 00:00:00,-358.73,91395.44
2024-04-03 00:00:00,-399.95,90995.49
2024-04-04 00:00:00,-396.17,90599.32
2024-04-05 00:00:00,-461.41,90137.91
2024-04-08 00:00:00,-432.71,89705.2
2024-04-09 00:00:00,-406.84,89298.35
2024-04-10 00:00:00,-430.64,88867.71
2024-04-11 00:00:00,-420.7,88447.01
2024-04-12 00:00:00,-337.73,88109.28
2024-04-15 00:00:00,-399.92,87709.36
2024-04-16 00:00:00,-196.44,87512.92
2024-04-17 00:00:00,-172.02,87340.91
2024-04-18 00:00:00,-128.51,87212.39
2024-04-19 00:00:00,-170.14,87042.26
2024-04-22 00:00:00,-115.3,86926.95
2024-04-23 00:00:00,-158.02,86768.93
2024-04-24 00:00:00,-126.56,86642.37
2024-04-25 00:00:00,-102.44,86539.94
2024-04-26 00:00:00,-122.09,86417.85
2024-04-29 00:00:00,-118.93,86298.92
2024-04-30 00:00:00,-347.96,85950.96
2024-05-01 00:00:00,1098.15,87049.11
2024-05-02 00:00:00,927.63,87976.74
2024-05-03 00:00:00,837.9,88814.64
2024-05-06 00:00:00,883.06,89697.71
2024-05-07 00:00:00,911.18,90608.89
2024-05-08 00:00:00,930.78,91539.66
2024-05-09 00:00:00,967.26,92506.92
2024-05-10 00:00:00,1004.8,93511.73
2024-05-13 00:00:00,1013.4,94525.12
2024-05-14 00:00:00,1067.18,95592.3
2024-05-15 00:00:00,1071.73,96664.03
2024-05-16 00:00:00,1232.33,97896.36
2024-05-17 00:00:00,1287.77,99184.14
2024-05-20 00:00:00,912.93,100097.06
2024-05-21 00:00:00,961.24,101058.3
2024-05-22 00:00:00,981.77,102040.07
2024-05-23 00:00:00,1043.66,103083.74
2024-05-24 00:00:00,1175.57,104259.3
2024-05-28 00:00:00,1023.36,105282.67
2024-05-29 00:00:00,945.73,106228.4
2024-05-30 00:00:00,985.42,107213.82
2024-05-31 00:00:00,1088.17,108301.99
2024-06-03 00:00:00,1013.9,109315.89
2024-06-04 00:00:00,809.46,110125.34
2024-06-05 00:00:00,643.49,110768.83
2024-06-06 00:00:00,637.08,111405.91
2024-06-07 00:00:00,839.76,112245.66
2024-06-10 00:00:00,738.06,112983.72
2024-06-11 00:00:00,528.21,113511.94
2024-06-12 00:00:00,389.31,113901.25
2024-06-13 00:00:00,480.0,114381.25
2024-06-14 00:00:00,507.94,114889.19
2024-06-17 00:00:00,563.42,115452.62
2024-06-18 00:00:00,519.05,115971.66
2024-06-20 00:00:00,612.4,116584.06
2024-06-21 00:00:00,536.06,117120.13
2024-06-24 00:00:00,472.7,117592.83
2024-06-25 00:00:00,472.94,118065.77
2024-06-26 00:00:00,1196.38,119262.15
2024-06-27 00:00:00,553.78,119815.94
2024-06-28 00:00:00,543.06,120359.0
2024-07-01 00:00:00,606.04,120965.04
2024-07-02 00:00:00,603.75,121568.79
2024-07-03 00:00:00,417.47,121986.26
2024-07-05 00:00:00,-876.05,121110.22
2024-07-08 00:00:00,-914.18,120196.03
2024-07-09 00:00:00,-934.25,119261.78
2024-07-10 00:00:00,-808.88,118452.9
2024-07-11 00:00:00,-882.19,117570.71
2024-07-12 00:00:00,-809.01,116761.69
2024-07-15 00:00:00,-843.28,115918.41
2024-07-16 00:00:00,151.37,116069.79
2024-07-17 00:00:00,352.93,116422.72
2024-07-18 00:00:00,218.85,116641.57
2024-07-19 00:00:00,252.69,116894.26
2024-07-22 00:00:00,229.97,117124.23
2024-07-23 00:00:00,79.34,117203.57
2024-07-24 00:00:00,87.1,117290.67
2024-07-25 00:00:00,64.43,117355.11
2024-07-26 00:00:00,122.59,117477.69
2024-07-29 00:00:00,171.51,117649.21
2024-07-30 00:00:00,288.54,117937.75
2024-07-31 00:00:00,137.33,118075.07
2024-08-01 00:00:00,77.36,118152.43
2024-08-02 00:00:00,-82.13,118070.31
2024-08-05 00:00:00,-258.97,117811.33
2024-08-06 00:00:00,-218.89,117592.44
2024-08-07 00:00:00,-310.62,117281.83
2024-08-08 00:00:00,-311.2,116970.63
2024-08-09 00:00:00,-221.26,116749.37
2024-08-12 00:00:00,-115.97,116633.4
2024-08-13 00:00:00,-101.32,116532.08
2024-08-14 00:00:00,-55.56,116476.52
2024-08-15 00:00:00,-88.23,116388.29
2024-08-16 00:00:00,102.03,116490.32
2024-08-19 00:00:00,221.57,116711.89
2024-08-20 00:00:00,452.77,117164.66
2024-08-21 00:00:00,414.37,117579.02
2024-08-22 00:00:00,985.23,118564.26
2024-08-23 00:00:00,605.44,119169.7
2024-08-26 00:00:00,-779.25,118390.45
2024-08-27 00:00:00,-814.1,117576.35
2024-08-28 00:00:00,-936.48,116639.87
2024-08-29 00:00:00,-1004.55,115635.32
2024-08-30 00:00:00,-1000.79,114634.53
2024-09-03 00:00:00,-822.21,113812.31
2024-09-04 00:00:00,-711.94,113100.37
2024-09-05 00:00:00,-543.34,112557.03
2024-09-06 00:00:00,-513.03,112044.0
